order_id,order_date,customer_id,customer_segment,customer_acquisition_date,customer_country,customer_state,customer_city,customer_zipcode,region,sku,product_category,product_subcategory,product_name,quantity,unit_price,unit_cost,gross_sales,discount_percent,discount_amount,net_sales,total_product_cost,order_profit,marketing_campaign,marketing_channel,marketing_cost_per_click,shipping_mode,shipping_date,delivery_date,actual_shipping_days,shipping_cost,shipping_charge_to_customer,payment_method,customer_satisfaction_score,order_returned
ORD-101832,2025-06-09,CUST-00298,BUDGET CONSCIOUS,2024-01-02,Australia,New South Wales,Sydney,2000,APAC,ELEC-EAR-303,ELECTRONICS, Audio  ,SonicWave Noise-Cancelling Earbuds,1,149.0,45.0,149.0,0.0,0.0,149.0,45.0,104.0,CAMP_SPRING_CLEAN,Influencer,0.6,Express,2025-06-10,2025-06-12,2,8.5,0.0,Debit Card,4.0,0
ORD-103467,2024-09-17,,Tech Enthusiasts,2025-08-14,US,Illinois,Chicago,60601,Midwest,ELEC-SMART-101,ELECTRONICS,Smartphones,Quantum X1 Smartphone,1,799.0,450.0,799.0,0.0,0.0,799.0,450.0,349.0,CAMP_SUMMER_25,Email,0.05,Standard,2024-09-18,2024-09-22,4,6.5,0.0,Credit Card,,0
ORD-103647,2026-03-27,CUST-00526,Fashion Forward,2023-07-23,UK,Lancashire,Manchester,M1 1AE,Europe,SPRT-BOTL-802,Sports & Outdoors,Accessories,HydroShield Insulated Stainless Bottle,2,29.99,7.0,59.98,0.0,0.0,59.98,14.0,45.98,CAMP_RETARGET_90,Display,0.15,Standard,2026-03-29,2026-04-03,5,8.0,9.6,Debit Card,4.0,0
ORD-100359,2024-08-06,CUST-00189,Fashion Forward,2025-05-26,France,Île-de-France,Paris,75001,Europe,APPA-TSHR-503,Apparel & Clothing,Tops,Organic Cotton Premium T-Shirt,1,28.0,6.5,28.0,0.3,8.4,19.6,6.5,13.1,CAMP_BLACK_FRIDAY,Paid Search,0.45,Express,2024-08-08,2024-08-10,2,8.5,10.2,Credit Card,3.0,1
ORD-104016,0000-00-00,CUST-00226,Budget Conscious,2023-05-03,US,Florida,Miami,33101,South,ELEC-LAP-202,ELECTRONICS,Laptops,Apex Pro 15-inch Laptop,1,1299.0,750.0,1299.0,0.0,0.0,1299.0,750.0,549.0,CAMP_SPRING_CLEAN,Influencer,0.6,Economy,2025-02-17,2025-03-01,12,6.5,0.0,PayPal,3.0,0
ORD-101377,2025-01-20,CUST-00504,Health & Beauty,2023-02-11,UK,England,LON,EC1A 1BB,Europe,APPA-HOOD-501,Apparel & Clothing,Outerwear,Urban Fleece Streetwear Hoodie,1,65.0,18.0,65.0,0.0,0.0,65.0,18.0,47.0,CAMP_RETARGET_90,Display,0.15,Express,2025-01-21,2024-02-30,2,8.5,10.2,Credit Card,4.0,0
ORD-104311,2025-11-20,CUST-00880,Budget Conscious,2025-02-24,UK,Lancashire,Manchester,M1 1AE,Europe,HOME-MAT-603,Home/Kitchen,Bedding,Orthopedic Memory Foam Pillow,1,49.99,15.0,49.99,0.1,5.0,44.99,15.0,29.99,CAMP_SPRING_CLEAN,Influencer,0.6,Express,2025-11-23,2025-11-28,5,8.5,10.2,PayPal,3.0,0
ORD-102572,2024-06-30,CUST-00234,Fashion Forward,2023-09-25,Australia,New South Wales,Sydney,2000,APAC,APPA-HOOD-501,Apparel & Clothing,Outerwear,Urban Fleece Streetwear Hoodie,1,65.0,18.0,65.0,0.0,0.0,65.0,18.0,47.0,CAMP_SPRING_CLEAN,Influencer,0.6,Standard,2024-07-01,2024-07-05,4,6.5,7.8,Credit Card,5.0,0
ORD-100035,2024-05-09,CUST-00293,Health & Beauty,2023-02-12,US,New York,NY,10001,East,BEAU-CREM-703,Beauty & Personal Care,Skincare,Ceramide Barrier Repair Night Cream,1,42.0,6.0,42.0,0.1,4.2,37.8,6.0,31.8,CAMP_SUMMER_25,Email,0.05,Standard,2024-05-10,2024-05-15,5,6.5,7.8,Credit Card,4.0,0
ORD-103484,2024-09-22,CUST-00543,Budget Conscious,2023-04-19,US,Washington,Seattle,98101,West,HOME-BLND-602,Home/Kitchen,Appliances,Vortex Pro High-Speed Blender,1,99.0,40.0,99.0,0.0,0.0,99.0,40.0,59.0,CAMP_HOLIDAY_REACH,Social Media,0.35,Express,2024-09-24,2024-09-29,5,8.5,0.0,Debit Card,3.0,0
ORD-104721,2025-09-11,CUST-00538,Budget Conscious,2024-01-15,UK,England,LON,EC1A 1BB,Europe,HOME-MAT-603,Home/Kitchen,Bedding,Orthopedic Memory Foam Pillow,2,49.99,15.0,99.98,0.0,0.0,99.98,30.0,69.98,CAMP_HOLIDAY_REACH,Social Media,0.35,Standard,2025-09-13,2025-09-17,4,8.0,0.0,Credit Card,5.0,0
ORD-105111,2025-11-10,CUST-00415,Home Decorators,2023-06-30,US,Texas,Houston,77001,South,APPA-DENM-502,Apparel & Clothing,Bottoms,Classic Slim-Fit Denim Jeans,1,88.0,22.0,88.0,0.0,0.0,88.0,22.0,66.0,CAMP_HOLIDAY_REACH,Social Media,0.35,Standard,2025-11-11,2025-11-16,5,6.5,0.0, Credit Card  ,3.0,1
ORD-104309,2024-07-26,CUST-00218,Home Decorators,2025-05-23,Australia,New South Wales,Sydney,2000,APAC,ELEC-EAR-303,ELECTRONICS,Audio,SonicWave Noise-Cancelling Earbuds,1,149.0,45.0,149.0,0.0,0.0,149.0,45.0,104.0,NO_CAMP,Organic,0.0,Express,2024-07-29,2024-08-01,3,8.5,0.0,Debit Card,4.0,0
